Title,Price,Rating,Reviews,Rating_Num,Reviews_Int,Rating_Category
"HomeSpot Noise Reduction Wireless Neckband Headphones with Qualcomm aptX HD, 27dB NRR, CVC Noise Cancelling Mic & Controls and 20H Playtime for Work Safety OSHA Compliant - Blue Wire Orange Earbuds",36.99,4.3 out of 5 stars,1245,4.3,1245,High
"Wireless Earbuds, Sports Bluetooth Headphones, 80Hrs Playtime Ear Buds with LED Power Display, Noise Canceling Headset, IPX7 Waterproof Earphones for Workout/Running (Rose Gold)",43.02,4.8 out of 5 stars,2211,4.8,2211,High
"BERIBES Upgraded Hybrid Active Noise Cancelling Headphones with Transparent Modes,70H Playtime Bluetooth Headphones Wireless Bluetooth with Mic, Deep Bass,3.5MM Cable,Soft-Earpads,Fast Charging-Black",25.47,4.4 out of 5 stars,5299,4.4,5299,High
"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Foam Ear Cups, Travel, Office, USB-C Charging",43.02,4.5 out of 5 stars,91264,4.5,91264,High
"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",43.02,4.5 out of 5 stars,25394,4.5,25394,High
"LEVN Hybrid Active Noise Cancelling Headphones, Wireless Headphones Bluetooth 5.4 with Transparent Mode, Hi-Res Audio, Deep Bass, 70H Playtime Over Ear Bluetooth Headset for Work/Travel/Home/Office",39.98,4.8 out of 5 stars,979,4.8,979,High
"Sponsored Ad - Wireless Earbuds, Bluetooth 5.3 Ear Buds, Headphones with Clear Stereo Sound, 40H Playtime with LED Digital Display, IPX7 Waterproof Earphones Built-in Mic for Phone Tablet Sports Workout",43.02,4.9 out of 5 stars,556,4.9,556,High
JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,43.02,4.6 out of 5 stars,7191,4.6,7191,High
"ROSIDA Wireless Headphones for TV, Over-Ear Bluetooth 5.3 TV Headset for Seniors, 196ft Wireless Range Support Optical,AUX, RCA and USB Output,High Volume, Hi-Fi Audio&No Delay,Up to 30 Hours Playtime",43.02,4.2 out of 5 stars,613,4.2,613,High
"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, Bluetooth 5.3, 4-Mic technology for Crisp, Clear Calls, Up to 48 hours of battery life, Water and dust resistant (Black)",43.02,4.1 out of 5 stars,7468,4.1,7468,High
"Wireless Earbuds, Bluetooth 5.3 Headphones, True Wireless Stereo Earphones with IPX6 Waterproof, Noise Cancelling Mic, Fast Charging and Comfort Fit Ear Buds for Sports, Workouts - Black",18.99,4.8 out of 5 stars,786,4.8,786,High
"JBL Tune 670NC - Adaptive Noise Cancelling with Smart Ambient Wireless On-Ear Headphones, Up to 70H Battery Life with Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",43.02,4.5 out of 5 stars,1120,4.5,1120,High
"Wireless Headset with Mic for Work, Bluetooth Headphones with Microphone Noise Canceling & USB Dongle, Handsfree 26+ Hours Battery & Mute Button, for Office/Call Center/Laptop/MS Teams/Conference",34.99,4.2 out of 5 stars,332,4.2,332,High
